epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,3746.15,1.12361,1.90747,0.78029,1.11215,0.59921,0.46567,0.49252,0.24549,0.54579,0.45183,0.43392,0.17716,1.60882,2.78967,1.3758,1.73061,0.00138644,0.00138644,0.00138644
36,3852.62,1.11412,1.86562,0.76862,1.10746,0.55218,0.49271,0.50364,0.25676,0.51733,0.46257,0.44305,0.18862,1.5926,2.7055,1.32952,1.71488,0.00137819,0.00137819,0.00137819
37,3959.33,1.12479,1.87421,0.76566,1.10853,0.5461,0.47863,0.46241,0.24087,0.5035,0.45818,0.41938,0.17653,1.58964,2.9195,1.44116,1.73557,0.00136994,0.00136994,0.00136994
38,4066.13,1.08681,1.82378,0.7275,1.09161,0.62419,0.47056,0.50884,0.25204,0.57816,0.4351,0.43774,0.18428,1.57275,2.88122,1.37776,1.68576,0.00136169,0.00136169,0.00136169
39,4173.1,1.07722,1.81032,0.72742,1.08796,0.54277,0.50869,0.51047,0.24788,0.49153,0.47355,0.4069,0.17874,1.63902,2.83688,1.36266,1.76482,0.00135344,0.00135344,0.00135344
40,4280.85,1.06915,1.7892,0.7173,1.08329,0.65651,0.45966,0.5072,0.25088,0.61378,0.43589,0.4419,0.18585,1.60799,2.78226,1.37541,1.76286,0.00134519,0.00134519,0.00134519
41,4387.59,1.05486,1.78386,0.7094,1.07589,0.54383,0.49949,0.48844,0.24045,0.55752,0.42019,0.40457,0.15465,1.60519,2.96405,1.36103,1.746,0.00133693,0.00133693,0.00133693
42,4494.41,1.04589,1.7588,0.71001,1.07175,0.54175,0.47626,0.47708,0.24794,0.51285,0.45139,0.42261,0.17572,1.64878,2.79973,1.37613,1.78727,0.00132868,0.00132868,0.00132868
43,4601.23,1.02904,1.74214,0.67944,1.06415,0.56702,0.49441,0.51846,0.26387,0.55409,0.47544,0.45517,0.19238,1.60286,2.82408,1.3195,1.76364,0.00132043,0.00132043,0.00132043
44,4708.48,1.03933,1.72879,0.69008,1.06701,0.59854,0.51902,0.53522,0.26794,0.55558,0.49723,0.47706,0.20353,1.61197,2.82236,1.30322,1.76956,0.00131218,0.00131218,0.00131218
45,4815.62,1.01838,1.71873,0.67526,1.05873,0.53015,0.58426,0.5421,0.27047,0.58721,0.47933,0.47017,0.19803,1.6396,2.7524,1.29633,1.80293,0.00130393,0.00130393,0.00130393
46,4922.09,1.00385,1.68995,0.65574,1.04687,0.56248,0.50042,0.5137,0.27245,0.56081,0.45039,0.45133,0.19564,1.6163,2.79021,1.38025,1.76264,0.00129568,0.00129568,0.00129568
47,5029.26,0.99038,1.66086,0.64492,1.04213,0.67073,0.42684,0.50698,0.25771,0.63222,0.40532,0.44744,0.19438,1.60814,2.89365,1.34709,1.77536,0.00128742,0.00128742,0.00128742
48,5136.6,0.99259,1.66585,0.65474,1.04359,0.61457,0.49908,0.52674,0.26772,0.58492,0.45247,0.4496,0.19921,1.61929,2.83963,1.35129,1.7909,0.00127917,0.00127917,0.00127917
49,5243.55,0.97733,1.66529,0.64354,1.03855,0.60096,0.48869,0.52664,0.27323,0.58201,0.46657,0.46504,0.19897,1.63381,2.83271,1.30249,1.80033,0.00127092,0.00127092,0.00127092
50,5350.55,0.96918,1.63838,0.62706,1.02626,0.6446,0.5181,0.53975,0.27016,0.55553,0.46539,0.45622,0.19161,1.6327,2.85337,1.29029,1.80185,0.00126267,0.00126267,0.00126267
51,5457.3,0.95773,1.61039,0.61991,1.02532,0.5853,0.52752,0.5554,0.28107,0.60669,0.48993,0.5028,0.22206,1.60434,2.81175,1.22262,1.78862,0.00125442,0.00125442,0.00125442
52,5564.96,0.9567,1.59649,0.61506,1.0233,0.63955,0.49525,0.55013,0.28782,0.59743,0.46709,0.47376,0.21051,1.62866,2.95114,1.30567,1.8668,0.00124617,0.00124617,0.00124617
53,5672.26,0.94437,1.59142,0.61145,1.0219,0.60585,0.49723,0.52402,0.25662,0.64666,0.42287,0.44901,0.19346,1.64403,2.9581,1.40732,1.8309,0.00123791,0.00123791,0.00123791
54,5779.26,0.94453,1.58659,0.60745,1.01671,0.58864,0.53353,0.52535,0.27135,0.58539,0.51081,0.48871,0.20689,1.64548,2.81479,1.33743,1.86458,0.00122966,0.00122966,0.00122966
55,5886.49,0.9392,1.56886,0.61087,1.01984,0.58179,0.48902,0.50519,0.25132,0.55852,0.45103,0.44244,0.19412,1.66269,3.02707,1.40081,1.82562,0.00122141,0.00122141,0.00122141
56,5992.71,0.93264,1.55264,0.59777,1.00619,0.60499,0.49912,0.5458,0.28118,0.59483,0.48919,0.49311,0.21367,1.63387,3.00701,1.35411,1.86103,0.00121316,0.00121316,0.00121316
57,6099.47,0.9148,1.53581,0.58456,1.00271,0.60356,0.52766,0.55014,0.28054,0.61269,0.46045,0.47575,0.20735,1.60619,2.86812,1.24321,1.82414,0.00120491,0.00120491,0.00120491
58,6206.07,0.92002,1.53793,0.58445,0.99675,0.65407,0.47465,0.51696,0.26893,0.61761,0.4489,0.45861,0.20773,1.61576,2.92959,1.3076,1.83229,0.00119666,0.00119666,0.00119666
59,6312.99,0.90675,1.52149,0.57281,1.00184,0.64041,0.51782,0.54661,0.28547,0.62973,0.4603,0.46327,0.20779,1.55881,2.86265,1.30308,1.79619,0.0011884,0.0011884,0.0011884
60,6419.57,0.89159,1.50632,0.56194,0.98828,0.63365,0.52636,0.55002,0.28377,0.66144,0.45075,0.47246,0.2079,1.60502,2.994,1.39598,1.82858,0.00118015,0.00118015,0.00118015
61,6526.68,0.8838,1.4843,0.56446,0.97894,0.59275,0.54548,0.55393,0.28408,0.57757,0.51414,0.50067,0.2169,1.60099,2.91503,1.34942,1.80239,0.0011719,0.0011719,0.0011719
62,6633.68,0.87605,1.47262,0.55409,0.98732,0.74157,0.4615,0.5581,0.28003,0.69666,0.43469,0.49095,0.21087,1.61281,2.9476,1.28155,1.83744,0.00116365,0.00116365,0.00116365
63,6740.25,0.86364,1.47137,0.54133,0.97591,0.60588,0.50571,0.5197,0.26655,0.57212,0.47872,0.46311,0.19778,1.61018,2.9115,1.34151,1.88828,0.0011554,0.0011554,0.0011554
64,6846.94,0.8651,1.47489,0.54401,0.98068,0.56347,0.5506,0.5485,0.27659,0.60405,0.48684,0.48845,0.20402,1.59171,3.13513,1.32939,1.80907,0.00114715,0.00114715,0.00114715
65,6953.67,0.85743,1.46898,0.54241,0.9753,0.56398,0.52442,0.51355,0.26407,0.6103,0.462,0.4679,0.20039,1.61657,3.01846,1.2735,1.8666,0.00113889,0.00113889,0.00113889
66,7059.67,0.85871,1.43969,0.53964,0.97212,0.62849,0.51067,0.54548,0.2811,0.57102,0.47933,0.47017,0.21165,1.60082,2.96108,1.28867,1.85228,0.00113064,0.00113064,0.00113064
67,7166.09,0.84913,1.42798,0.52985,0.97407,0.64657,0.51386,0.5634,0.2892,0.60401,0.48782,0.49448,0.21847,1.61836,3.02892,1.28187,1.87115,0.00112239,0.00112239,0.00112239
68,7273.17,0.84027,1.43145,0.52116,0.96547,0.63078,0.51543,0.54581,0.28209,0.63686,0.46044,0.47378,0.21758,1.62036,3.07773,1.28084,1.88698,0.00111414,0.00111414,0.00111414
69,7380.15,0.84349,1.4162,0.52342,0.96435,0.64843,0.4748,0.5377,0.28126,0.50026,0.50232,0.45576,0.20664,1.65212,3.08146,1.32418,1.91366,0.00110589,0.00110589,0.00110589
70,7486.94,0.83613,1.40869,0.52242,0.96531,0.63046,0.4748,0.52834,0.28003,0.58152,0.44607,0.46721,0.21233,1.58403,3.09543,1.30327,1.85004,0.00109764,0.00109764,0.00109764
71,7593.3,0.82956,1.40847,0.51656,0.96316,0.57701,0.48403,0.5199,0.27463,0.56289,0.46907,0.46929,0.20777,1.59142,2.93993,1.32621,1.84417,0.00108938,0.00108938,0.00108938
72,7700.35,0.81782,1.37558,0.50397,0.95826,0.58932,0.50296,0.52582,0.27571,0.56826,0.4697,0.45226,0.19694,1.57878,3.14705,1.29868,1.86158,0.00108113,0.00108113,0.00108113
73,7806.65,0.8124,1.37299,0.50599,0.95432,0.62269,0.5181,0.56052,0.29495,0.57397,0.49336,0.49819,0.22029,1.62894,3.14199,1.29539,1.91516,0.00107288,0.00107288,0.00107288
74,7913.91,0.80845,1.36443,0.50076,0.95681,0.69352,0.49207,0.5578,0.28216,0.67983,0.47404,0.49827,0.2185,1.56647,3.07331,1.29451,1.82895,0.00106463,0.00106463,0.00106463
75,8020.25,0.80713,1.35565,0.49368,0.95151,0.66672,0.51472,0.57174,0.29078,0.62339,0.48393,0.49809,0.21284,1.61106,3.0636,1.27459,1.88152,0.00105638,0.00105638,0.00105638
76,8126.74,0.80525,1.37109,0.50151,0.95231,0.68863,0.49405,0.56902,0.28609,0.65101,0.46709,0.51408,0.21936,1.59445,2.90845,1.28,1.87551,0.00104813,0.00104813,0.00104813
77,8233.12,0.79207,1.33439,0.49533,0.94588,0.62646,0.53006,0.54324,0.2929,0.58857,0.50084,0.49382,0.22176,1.60714,2.99149,1.2987,1.91488,0.00103987,0.00103987,0.00103987
78,8340.16,0.80317,1.37883,0.49708,0.95296,0.60564,0.52124,0.55564,0.29142,0.59715,0.48662,0.50207,0.21862,1.62436,2.96002,1.29697,1.88668,0.00103162,0.00103162,0.00103162
79,8446.88,0.78185,1.33262,0.4883,0.94137,0.64927,0.50827,0.53842,0.28545,0.62275,0.48768,0.48833,0.21645,1.5778,3.12466,1.36504,1.81583,0.00102337,0.00102337,0.00102337
80,8553.58,0.7691,1.30553,0.47674,0.93571,0.57906,0.53629,0.55056,0.2862,0.66011,0.45315,0.50079,0.22266,1.62213,3.03084,1.32659,1.90618,0.00101512,0.00101512,0.00101512
81,8659.9,0.77075,1.32618,0.48101,0.93974,0.63062,0.52726,0.55929,0.28716,0.61439,0.49593,0.48997,0.22081,1.62509,3.03653,1.29298,1.92816,0.00100687,0.00100687,0.00100687
82,8766.81,0.75718,1.30499,0.47044,0.92657,0.63349,0.49745,0.55488,0.29233,0.63616,0.45237,0.48656,0.21508,1.57939,3.15035,1.37218,1.89385,0.000998616,0.000998616,0.000998616
83,8873.54,0.76334,1.30637,0.47708,0.93796,0.66392,0.49128,0.54671,0.29341,0.6522,0.46857,0.48956,0.21602,1.5831,3.15008,1.32013,1.88864,0.000990365,0.000990365,0.000990365
84,8980.37,0.7614,1.30268,0.46735,0.93982,0.56292,0.5682,0.54835,0.28356,0.67492,0.45277,0.4847,0.21189,1.59381,3.15078,1.30355,1.871,0.000982113,0.000982113,0.000982113
85,9087.54,0.74392,1.28501,0.4614,0.93029,0.54949,0.58716,0.56657,0.29314,0.62424,0.48103,0.50832,0.22338,1.66299,3.15056,1.31026,1.96906,0.000973861,0.000973861,0.000973861
86,9194.81,0.74322,1.27178,0.46223,0.93168,0.60778,0.52445,0.56461,0.29237,0.58424,0.50705,0.50736,0.22671,1.61421,3.14868,1.32826,1.91287,0.00096561,0.00096561,0.00096561
87,9301.55,0.73726,1.2747,0.45318,0.92673,0.6388,0.47413,0.53313,0.28938,0.62128,0.44517,0.46082,0.2142,1.62483,3.15366,1.38791,1.89888,0.000957358,0.000957358,0.000957358
88,9408.24,0.73056,1.24775,0.45524,0.92683,0.57153,0.53431,0.53293,0.27995,0.62018,0.4574,0.491,0.22341,1.62452,3.14224,1.45309,1.88403,0.000949106,0.000949106,0.000949106
89,9515.31,0.73348,1.25842,0.45828,0.92419,0.61167,0.47956,0.53003,0.28082,0.62328,0.46812,0.47732,0.2094,1.60898,3.0998,1.3008,1.90732,0.000940855,0.000940855,0.000940855
90,9621.88,0.72267,1.23932,0.44869,0.92313,0.63923,0.52221,0.57063,0.30088,0.64257,0.48464,0.51326,0.2242,1.5843,3.09844,1.25625,1.87935,0.000932603,0.000932603,0.000932603
91,9729.05,0.73459,1.25525,0.45172,0.92492,0.6887,0.48782,0.56147,0.29748,0.68527,0.46588,0.5009,0.22195,1.60832,3.14395,1.27373,1.9333,0.000924352,0.000924352,0.000924352
92,9835.46,0.70566,1.21261,0.43384,0.91407,0.58617,0.56716,0.57389,0.30445,0.60939,0.50467,0.52112,0.22976,1.58338,3.31742,1.31648,1.89967,0.0009161,0.0009161,0.0009161
93,9942.75,0.7142,1.22622,0.44065,0.91523,0.6491,0.5573,0.58468,0.3013,0.6221,0.53397,0.52845,0.22914,1.627,3.04615,1.23488,1.97382,0.000907848,0.000907848,0.000907848
94,10049.9,0.70733,1.19835,0.4392,0.91615,0.59322,0.56338,0.57142,0.30511,0.56232,0.529,0.51828,0.2329,1.59154,3.21845,1.2692,1.91523,0.000899597,0.000899597,0.000899597
95,10156.5,0.70382,1.19607,0.43444,0.90403,0.5904,0.60923,0.59231,0.31078,0.59564,0.53445,0.53995,0.23984,1.61051,3.24652,1.25245,1.92966,0.000891345,0.000891345,0.000891345
96,10263.3,0.71354,1.22075,0.44047,0.91865,0.64291,0.51322,0.55952,0.27963,0.58068,0.49751,0.48733,0.2123,1.62272,3.24985,1.30596,1.94886,0.000883093,0.000883093,0.000883093
97,10370.1,0.69131,1.19002,0.42605,0.90657,0.66885,0.51159,0.56302,0.29814,0.63109,0.49327,0.50155,0.22229,1.60496,3.36397,1.28686,1.95598,0.000874842,0.000874842,0.000874842
98,10477,0.69729,1.20053,0.42823,0.9116,0.63057,0.56525,0.58834,0.30967,0.61238,0.53788,0.53554,0.24148,1.57864,3.11796,1.30879,1.89308,0.00086659,0.00086659,0.00086659
99,10583.7,0.6919,1.19143,0.42735,0.90857,0.63867,0.52539,0.57274,0.29995,0.60599,0.50587,0.52183,0.23614,1.58987,3.19837,1.30806,1.89271,0.000858338,0.000858338,0.000858338
100,10690.4,0.68827,1.18445,0.42675,0.90713,0.59315,0.58772,0.57609,0.29732,0.6376,0.48237,0.50737,0.22262,1.61372,3.26004,1.29609,1.93436,0.000850087,0.000850087,0.000850087
101,10797.1,0.68523,1.19063,0.42251,0.9078,0.58877,0.57032,0.55161,0.29436,0.56416,0.54414,0.50708,0.22323,1.61651,3.25982,1.28608,1.91026,0.000841835,0.000841835,0.000841835
102,10903.9,0.68019,1.18507,0.41958,0.90409,0.61666,0.51878,0.5593,0.30225,0.62269,0.49949,0.52267,0.23511,1.62342,3.22876,1.30175,1.9507,0.000833583,0.000833583,0.000833583
103,11010.5,0.67225,1.17086,0.41031,0.90166,0.65895,0.49618,0.56356,0.30283,0.63797,0.48436,0.5179,0.23476,1.59568,3.33887,1.30441,1.91729,0.000825332,0.000825332,0.000825332
104,11117,0.6644,1.13256,0.40613,0.8944,0.653,0.52,0.57685,0.31488,0.71313,0.45315,0.52756,0.24319,1.59894,3.30852,1.24212,1.90835,0.00081708,0.00081708,0.00081708
105,11224.6,0.67239,1.1448,0.41036,0.89792,0.6375,0.53643,0.57617,0.30642,0.61865,0.51916,0.53221,0.24403,1.60772,3.36092,1.30376,1.97622,0.000808828,0.000808828,0.000808828
106,11331,0.66974,1.14684,0.41267,0.90389,0.71099,0.48739,0.58183,0.31241,0.70631,0.45237,0.53343,0.24243,1.59579,3.28271,1.30314,1.93687,0.000800577,0.000800577,0.000800577
107,11437.6,0.66393,1.15785,0.4101,0.89767,0.63971,0.5193,0.56447,0.29877,0.62425,0.51386,0.52919,0.23583,1.60291,3.35795,1.29165,1.9638,0.000792325,0.000792325,0.000792325
108,11544.4,0.65373,1.14771,0.40361,0.89956,0.61144,0.53533,0.55305,0.29571,0.60746,0.48265,0.49663,0.22048,1.58929,3.45032,1.34978,1.9474,0.000784073,0.000784073,0.000784073
109,11650.8,0.64848,1.13196,0.39852,0.89379,0.65141,0.52143,0.57538,0.29904,0.62485,0.49977,0.52884,0.23998,1.59646,3.48755,1.27343,1.94211,0.000775822,0.000775822,0.000775822
110,11757.2,0.65902,1.13633,0.40789,0.89584,0.65288,0.52722,0.57122,0.31349,0.6272,0.5077,0.51616,0.23187,1.58912,3.34941,1.31031,1.95875,0.00076757,0.00076757,0.00076757
