split,city,image_path,nearest_audit_cosine,above_audit_p90
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_102.jpg,0.6014248,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_32.jpg,0.48270184,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_17981.jpg,0.42144424,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8532.jpg,0.5507628,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_15078.jpg,0.4666028,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_20958.jpg,0.46251565,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_33.jpg,0.58890957,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_101.jpg,0.53082085,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3639.jpg,0.57967293,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7451.jpg,0.5875493,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8346.jpg,0.6246651,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_13408.jpg,0.3994109,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_18045.jpg,0.47103095,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_23963.jpg,0.5231456,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_1221.jpg,0.36771607,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8337.jpg,0.38131326,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_13230.jpg,0.5483732,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_20145.jpg,0.4389764,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2896.jpg,0.5166818,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7247.jpg,0.331703,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7249.jpg,0.46495777,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_16185.jpg,0.42785227,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_16205.jpg,0.49970722,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_20162.jpg,0.40840894,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_20966.jpg,0.39583588,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_24139.jpg,0.54176843,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_28213.jpg,0.49481988,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2410.jpg,0.32893586,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4230.jpg,0.75706637,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_13456.jpg,0.51099324,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_13472.jpg,0.59635204,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_15073.jpg,0.3746646,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_15162.jpg,0.40104407,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_16175.jpg,0.6097684,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_16214.jpg,0.6381004,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_19715.jpg,0.4221431,False
